From	To
A0A2A2REB7	A0A2A2REB7_9BACT
U2Q1B0	U2Q1B0_9CLOT
A0A1V5R208	A0A1V5R208_9BACT
A0A1V5NTH0	A0A1V5NTH0_9BACT
A0A160BZM5	A0A160BZM5_9RALS
A0A085F5J3	A0A085F5J3_9BRAD
I4ESW7	I4ESW7_9ACTN
A0A1F5NZ75	OBSOLETE
A0A2N2DQ73	A0A2N2DQ73_9FIRM
A0A1E3Y886	A0A1E3Y886_9BACT
M7CV72	M7CV72_9ALTE
A0A161VFI7	A0A161VFI7_9RHOB
A0A101EVU3	A0A101EVU3_9THEM
A0A2D8VG40	A0A2D8VG40_9BACT
A0A1A9NAJ6	A0A1A9NAJ6_9BURK
A0A0G3BEK1	A0A0G3BEK1_9BURK
A0A1G7NZK0	A0A1G7NZK0_9BRAD
A0A090IUP6	A0A090IUP6_9BACI
A0A267TZ74	A0A267TZ74_9BACI
A0A0D0G6P3	A0A0D0G6P3_9BACI
A0A0A6SBT9	OBSOLETE
A0A2N5L560	A0A2N5L560_9RALS
A0A098R4Q8	A0A098R4Q8_9SPIO
A0A165SRU0	A0A165SRU0_9RHOB
H6RSP2	H6RSP2_BLASD
A0A1P8UPA7	A0A1P8UPA7_9RHOB
K2MQ39	K2MQ39_9BACI
Q6MAJ5	VATA_PARUW
A0A0C1JFV9	A0A0C1JFV9_9RHOB
A0A125BDU9	A0A125BDU9_SHEFR
A0A165PT52	A0A165PT52_9RHOB
F8L1W7	F8L1W7_PARAV
A0A1I5RJU7	A0A1I5RJU7_9RALS
A0A0C1EKI1	A0A0C1EKI1_9BACT
A0A1C0XNY5	A0A1C0XNY5_RALPI
W2CJF8	W2CJF8_9BACT
W2CZP9	W2CZP9_9BACT
A0A231WFH1	A0A231WFH1_9BACI
A0A2E6A786	A0A2E6A786_9GAMM
W0V0E2	W0V0E2_9BURK
J1H4J9	J1H4J9_9CLOT
A0A063Y516	A0A063Y516_9GAMM
A0A1C0XPF3	A0A1C0XPF3_RALPI
W7Z8S7	W7Z8S7_9BACI
K4EI79	K4EI79_9BURK
A0A0G0PJB0	A0A0G0PJB0_9BACT
A0A174G425	A0A174G425_9FIRM
A0A143XGK4	A0A143XGK4_9FIRM
A0A1Y4B228	A0A1Y4B228_9FIRM
R9YDE0	R9YDE0_ANAPH
A0A251WQT4	A0A251WQT4_9FIRM
M2Q236	M2Q236_9FIRM
A0A1G3Z6V0	A0A1G3Z6V0_9BACT
R9YD11	R9YD11_ANAPH
A0A212C6F7	A0A212C6F7_CEREH
E2CJL8	E2CJL8_9RHOB
W7Z6R9	W7Z6R9_9BACI
F5HQ94	F5HQ94_VIBFU
A0A1V4S757	A0A1V4S757_9DELT
R9YAQ5	R9YAQ5_ANAPH
R9YAG8	R9YAG8_ANAPH
A0A2H6HTZ8	A0A2H6HTZ8_9BACT
R9YCX7	R9YCX7_ANAPH
Q9T7A1	Q9T7A1_METGY
A0A081KA74	A0A081KA74_9GAMM
R9YCW8	R9YCW8_ANAPH
R9YCM9	R9YCM9_ANAPH
R9YDD1	R9YDD1_ANAPH
R9YCY4	R9YCY4_ANAPH
R9YC73	R9YC73_ANAPH
A0A081G0J5	A0A081G0J5_9GAMM
R9YDH0	R9YDH0_ANAPH
A0A1H7FBM4	A0A1H7FBM4_9FLAO
R9YD24	R9YD24_ANAPH
A0A1J5IU57	A0A1J5IU57_9BACT
A0A2A2S8V6	A0A2A2S8V6_9SPHI
R9YC16	R9YC16_ANAPH
R9YAN9	R9YAN9_ANAPH
Q02C61	Q02C61_SOLUE
A0A1J5DGS8	A0A1J5DGS8_9DELT
A0A2M8AXV6	A0A2M8AXV6_9DELT
A0A2N0EA52	A0A2N0EA52_PSETO
R9YDF1	R9YDF1_ANAPH
A0A1E1V4P4	A0A1E1V4P4_9BRAD
C8W1G0	C8W1G0_DESAS
Q8G8B5	Q8G8B5_HELPX
A0A1G5GWI5	A0A1G5GWI5_9FIRM
G3TXW2	G3TXW2_LOXAF
A0A1S9BU73	A0A1S9BU73_9FIRM
A0A1T2XVE0	A0A1T2XVE0_PSEFL
W3AQ04	W3AQ04_9FIRM
A0A1H3MMP2	A0A1H3MMP2_9PROT
A0A031J275	A0A031J275_9PSED
A0A1V6GSP9	A0A1V6GSP9_9DELT
A0A285IV87	A0A285IV87_9PSED
R9YAR2	R9YAR2_ANAPH
A0A1F5DBW3	A0A1F5DBW3_9ARCH
A0A257BJB8	A0A257BJB8_9PSED
A0A2G5MQ36	A0A2G5MQ36_9PSED
A0A1W9J1R2	A0A1W9J1R2_9BACT
A0A2N6CBB0	A0A2N6CBB0_9DELT
A0A0F8VC51	A0A0F8VC51_9ARCH
E5DK93	E5DK93_9CARY
A0A2N7XVT2	A0A2N7XVT2_9PSED
A0A0G3BAA6	A0A0G3BAA6_9RHOB
A0A1I4AMH3	A0A1I4AMH3_9PSED
A0A0G1E8J3	A0A0G1E8J3_9BACT
A0A0G1L707	A0A0G1L707_9BACT
A0A0F7BKZ2	A0A0F7BKZ2_MYXFU
A0A1I0KT23	A0A1I0KT23_MYXFU
A0A2C9BMM6	A0A2C9BMM6_9BURK
A0A228DTR9	OBSOLETE
A0A1H8JRY1	A0A1H8JRY1_9PSED
A0A1E2UK38	A0A1E2UK38_9GAMM
A0A1H7WL89	A0A1H7WL89_9BACL
A0A1I4QM97	A0A1I4QM97_9BACI
A0A2H0UA92	A0A2H0UA92_9BACT
A0A0P9NF13	A0A0P9NF13_PSESX
S6GEY6	S6GEY6_9GAMM
A0A0R3N8E5	A0A0R3N8E5_9BRAD
A0A2G0XX53	A0A2G0XX53_PSEA0
A0A1W9G951	A0A1W9G951_9BACT
A0A0R2VHZ5	A0A0R2VHZ5_9SPHI
A0A0N8SBP8	A0A0N8SBP8_PSESS
A0A0Q0ANI1	A0A0Q0ANI1_PSESS
A0A267KME2	A0A267KME2_PSESS
A0A0Q0CX18	A0A0Q0CX18_PSEA0
A0A0Q9V878	A0A0Q9V878_9BACI
A0A1I4K3K1	A0A1I4K3K1_9PROT
A0A0W8HDY6	A0A0W8HDY6_PSESS
A0A0N0EVR4	A0A0N0EVR4_PSEA0
A0A0N8RW78	A0A0N8RW78_PSEA0
A0A120B9S9	A0A120B9S9_PSEA0
A0A2G4CVS8	A0A2G4CVS8_PSEA0
A0A2K4WVT8	A0A2K4WVT8_PSESX
A0A0N0ELK9	A0A0N0ELK9_PSEAQ
A0A0N0XET9	A0A0N0XET9_PSEA0
A0A0P9V827	A0A0P9V827_9PSED
A0A1Y4HDT0	A0A1Y4HDT0_9FIRM
A0A1Y4MGL4	A0A1Y4MGL4_9FIRM
A0A0P9USS3	A0A0P9USS3_PSEA0
A0A0W0IPQ2	A0A0W0IPQ2_9PSED
A0A0N0X4X3	OBSOLETE
A0A0P9JHI9	A0A0P9JHI9_PSEA0
A0A0P9M763	A0A0P9M763_PSESX
F3JUW3	F3JUW3_PSEAJ
A0A0P9YNH5	A0A0P9YNH5_PSESS
A0A0N0EZL7	A0A0N0EZL7_PSEA0
A0A0P9WW81	A0A0P9WW81_PSESH
A0A1E3XSH2	A0A1E3XSH2_9PSED
Q48IQ5	Q48IQ5_PSE14
A0A0Q0BPU2	A0A0Q0BPU2_PSEAJ
A0A0F0E964	A0A0F0E964_9BURK
A0A2C2S538	A0A2C2S538_BACME
A0A0Q6HVM7	A0A0Q6HVM7_9BACI
A0A2B8C854	A0A2B8C854_BACME
D5DQN7	D5DQN7_BACMQ
A0A0J1G0J8	A0A0J1G0J8_9FIRM
A0A0P9LIW5	A0A0P9LIW5_PSEA0
A0A0N8RPA0	A0A0N8RPA0_PSESG
E7PPU6	E7PPU6_PSESG
A0A2D6PQG4	A0A2D6PQG4_9BACT
A0A2B0PPS3	A0A2B0PPS3_BACME
A0A1V6G764	A0A1V6G764_9BACT
A1E924	A1E924_9CHLO
W2C6J7	W2C6J7_9BACT
A0A2B2D3H8	A0A2B2D3H8_BACME
A0A1F9I0I8	A0A1F9I0I8_9DELT
A0A0R0D9K7	A0A0R0D9K7_9GAMM
A0A2G6BBG8	A0A2G6BBG8_9BACL
A0A1H0TTR8	A0A1H0TTR8_9CLOT
